name,sido,sigg,parcels,lat,lng,near_canoe
[상수원보호] 경상북도 영양군 #13,경상북도,영양군,1,36.6594841,129.1596135,False
[상수원보호] 경상북도 영양군 #14,경상북도,영양군,1,36.704587,129.0316703,False
[상수원보호] 경상북도 영양군 #15,경상북도,영양군,1,36.735023,129.1545973,False
[상수원보호] 경상북도 영양군 #16,경상북도,영양군,1,36.522232,129.1831567,False
[상수원보호] 경상북도 영양군 #17,경상북도,영양군,1,36.568637,129.0965468,False
[상수원보호] 경상북도 영양군 #18,경상북도,영양군,1,36.6530155,129.1078869,False
[상수원보호] 경상북도 영양군 #19,경상북도,영양군,1,36.6977871,129.1261509,False
[상수원보호] 경상북도 영주시 #1,경상북도,영주시,1,36.933761,128.5426075,False
[상수원보호] 경상북도 영주시 #2,경상북도,영주시,1,36.8453177,128.5668223,False
[상수원보호] 경상북도 영주시 #3,경상북도,영주시,1,36.9966446,128.6308747,False
[상수원보호] 경상북도 영주시 #4,경상북도,영주시,1,36.873055,128.5143115,False
[상수원보호] 경상북도 영천시 #1,경상북도,영천시,1,36.0823297,129.0399076,False
[상수원보호] 경상북도 영천시 #2,경상북도,영천시,1,36.0339082,128.7471093,False
[상수원보호] 경상북도 예천군 #1,경상북도,예천군,1,36.5814679,128.3006258,False
[상수원보호] 경상북도 예천군 #2,경상북도,예천군,1,36.5049192,128.2684976,False
[상수원보호] 경상북도 예천군 #3,경상북도,예천군,1,36.6097953,128.273788,False
[상수원보호] 경상북도 예천군 #4,경상북도,예천군,1,36.6676351,128.4599547,False
[상수원보호] 경상북도 예천군 #5,경상북도,예천군,1,36.5082031,128.2924514,False
[상수원보호] 경상북도 울릉군 #1,경상북도,울릉군,1,37.5069892,130.8428431,False
[상수원보호] 경상북도 울릉군 #2,경상북도,울릉군,1,37.5039174,130.8779173,False
[상수원보호] 경상북도 울릉군 #3,경상북도,울릉군,1,37.5255346,130.8591059,False
[상수원보호] 경상북도 울릉군 #4,경상북도,울릉군,1,37.4909703,130.8719546,False
[상수원보호] 경상북도 울릉군 #5,경상북도,울릉군,1,37.4912566,130.8519416,False
[상수원보호] 경상북도 울릉군 #6,경상북도,울릉군,1,37.5180311,130.8914901,False
[상수원보호] 경상북도 울진군 #1,경상북도,울진군,1,36.7124283,129.3461426,False
[상수원보호] 경상북도 울진군 #2,경상북도,울진군,1,36.7228668,129.4282749,False
[상수원보호] 경상북도 울진군 #3,경상북도,울진군,1,37.0045604,129.3868214,False
[상수원보호] 경상북도 의성군 #1,경상북도,의성군,1,36.4342748,128.7136892,False
[상수원보호] 경상북도 의성군 #2,경상북도,의성군,1,36.4204553,128.7846574,False
[상수원보호] 경상북도 의성군 #3,경상북도,의성군,1,36.3392158,128.6968047,False
[상수원보호] 경상북도 의성군 #4,경상북도,의성군,1,36.2908497,128.6094119,False
[상수원보호] 경상북도 의성군 #5,경상북도,의성군,1,36.2417861,128.6928636,False
[상수원보호] 경상북도 의성군 #6,경상북도,의성군,1,36.3626769,128.4613088,False
[상수원보호] 경상북도 청도군 #1,경상북도,청도군,1,35.7181867,128.9558068,False
[상수원보호] 경상북도 청도군 #2,경상북도,청도군,1,35.7143801,128.9747274,False
[상수원보호] 경상북도 청도군 #3,경상북도,청도군,1,35.689855,128.9653501,False
[상수원보호] 경상북도 청도군 #4,경상북도,청도군,1,35.7796864,128.9686283,False
[상수원보호] 경상북도 청도군 #5,경상북도,청도군,1,35.722909,128.9347868,False
[상수원보호] 경상북도 청도군 #6,경상북도,청도군,1,35.7425515,128.9502385,False
[상수원보호] 경상북도 청도군 #7,경상북도,청도군,1,35.7579181,128.9574191,False
[상수원보호] 경상북도 청도군 #8,경상북도,청도군,1,35.7696377,128.9697177,False
[상수원보호] 경상북도 청도군 #9,경상북도,청도군,1,35.7358703,128.9236069,False
[상수원보호] 경상북도 청도군 #10,경상북도,청도군,2,35.6477493,128.613972,False
[상수원보호] 경상북도 청송군 #1,경상북도,청송군,1,36.4148076,129.0623868,False
[상수원보호] 경상북도 청송군 #3,경상북도,청송군,1,36.2971375,128.964508,False
[상수원보호] 경상북도 청송군 #4,경상북도,청송군,1,36.3591754,129.1678987,False
[상수원보호] 경상북도 청송군 #5,경상북도,청송군,1,36.3256383,129.0785495,False
[상수원보호] 경상북도 포항시,경상북도,포항시,1,35.9995738,129.5287019,False
[상수원보호] 경상북도 포항시 남구 #1,경상북도,포항시 남구,1,35.9979458,129.3102592,False
[상수원보호] 경상북도 포항시 남구 #2,경상북도,포항시 남구,1,35.8822244,129.3996386,False
[상수원보호] 경상북도 포항시 남구 #3,경상북도,포항시 남구,1,35.9099775,129.3670884,False
[상수원보호] 경상북도 포항시 남구 #4,경상북도,포항시 남구,1,36.007067,129.5202068,False
[상수원보호] 경상북도 포항시 북구,경상북도,포항시 북구,1,36.1193539,129.335568,False
[상수원보호] 광주광역시 동구 #1,광주광역시,동구,1,35.1113835,126.9816366,False
[상수원보호] 광주광역시 동구 #2,광주광역시,동구,2,35.1200463,127.0001382,False
[상수원보호] 광주광역시 북구 #1,광주광역시,북구,1,35.1642297,126.9742725,False
[상수원보호] 광주광역시 북구 #2,광주광역시,북구,1,35.1266421,127.0105225,False
[상수원보호] 대구광역시 군위군 #1,대구광역시,군위군,1,36.1447985,128.5955457,False
[상수원보호] 대구광역시 군위군 #2,대구광역시,군위군,1,36.1831069,128.603708,False
[상수원보호] 대구광역시 군위군 #3,대구광역시,군위군,1,36.169386,128.7357951,False
[상수원보호] 대구광역시 군위군 #4,대구광역시,군위군,1,36.1778272,128.7217792,False
[상수원보호] 대구광역시 군위군 #5,대구광역시,군위군,1,36.1510145,128.5863347,False
[상수원보호] 대구광역시 달성군,대구광역시,달성군,1,35.7613313,128.5763529,False
[상수원보호] 대구광역시 동구 #1,대구광역시,동구,1,35.947078,128.661865,False
[상수원보호] 대구광역시 동구 #2,대구광역시,동구,2,35.9562879,128.6636228,False
[상수원보호] 부산광역시 금정구,부산광역시,금정구,1,35.2712567,129.1113145,False
[상수원보호] 부산광역시 기장군,부산광역시,기장군,1,35.2997524,129.1498874,False
[상수원보호] 울산광역시 울주군 #1,울산광역시,울주군,6,35.6529252,129.1740745,False
[상수원보호] 울산광역시 울주군 #2,울산광역시,울주군,1,35.5848967,129.1908047,False
[상수원보호] 울산광역시 울주군 #3,울산광역시,울주군,1,35.6000483,129.1840361,False
[상수원보호] 울산광역시 울주군 #4,울산광역시,울주군,1,35.5835172,129.1751706,False
[상수원보호] 울산광역시 울주군 #5,울산광역시,울주군,1,35.6242918,129.1755343,False
[상수원보호] 울산광역시 울주군 #6,울산광역시,울주군,1,35.4730578,129.2544048,False
[상수원보호] 인천광역시 강화군 #1,인천광역시,강화군,1,37.6328135,126.4944198,False
[상수원보호] 인천광역시 강화군 #2,인천광역시,강화군,1,37.7521534,126.4711706,False
[상수원보호] 전라남도 강진군 #1,전라남도,강진군,1,34.6400199,126.8392847,False
[상수원보호] 전라남도 강진군 #2,전라남도,강진군,1,34.7544055,126.8046675,False
[상수원보호] 전라남도 강진군 #3,전라남도,강진군,1,34.718726,126.8400205,False
[상수원보호] 전라남도 강진군 #4,전라남도,강진군,1,34.6998292,126.7248933,False
[상수원보호] 전라남도 강진군 #5,전라남도,강진군,1,34.4618005,126.8191125,False
[상수원보호] 전라남도 고흥군 #1,전라남도,고흥군,1,34.4423174,127.5104265,False
[상수원보호] 전라남도 고흥군 #2,전라남도,고흥군,1,34.5225583,127.3083537,False
[상수원보호] 전라남도 고흥군 #3,전라남도,고흥군,1,34.457041,127.4614655,False
[상수원보호] 전라남도 고흥군 #4,전라남도,고흥군,1,34.5446953,127.2998288,False
[상수원보호] 전라남도 고흥군 #5,전라남도,고흥군,1,34.527334,127.2735426,False
[상수원보호] 전라남도 고흥군 #6,전라남도,고흥군,1,34.5858171,127.3018357,False
