mnum,name,sido,sigg,dyear,dnum,lat,lng
53100004817020040000UMI1000001204,상수원보호구역,경상남도,진주시,2004,0000,35.222776,127.9620466
53100004817020040380UMI1000001001,상수원보호구역,경상남도,진주시,2004,0380,35.168339,128.0136824
53100004817020040000UMI1000001212,상수원보호구역,경상남도,진주시,2004,0000,35.2303862,127.9772797
53100004817020060011UMI1000001001,상수원보호구역,경상남도,진주시,2006,0011,35.204306,127.9866413
53100004817020040110UMI1000001001,상수원보호구역,경상남도,진주시,2004,0110,35.1737151,127.9713801
53100004817020040000UMI1000001211,상수원보호구역,경상남도,진주시,2004,0000,35.2299046,127.9838291
53100004817020040140UMI1000001001,상수원보호구역,경상남도,진주시,2004,0140,35.1724403,127.9731761
53100004817020040000UMI1000001145,상수원보호구역,경상남도,진주시,2004,0000,35.2433638,127.9924407
53100004817020040000UMI1000001216,상수원보호구역,경상남도,진주시,2004,0000,35.2227106,127.9651993
53100004817020040000UMI1000001191,상수원보호구역,경상남도,진주시,2004,0000,35.2276388,127.9650346
53100004817020040102UMI1000001001,상수원보호구역,경상남도,진주시,2004,0102,35.1711504,127.9712861
53100004817020040000UMI1000001049,상수원보호구역,경상남도,진주시,2004,0000,35.2586835,127.9820994
53100004817020040258UMI1000001001,상수원보호구역,경상남도,진주시,2004,0258,35.172624,128.022872
53100004817020040000UMI1000001110,상수원보호구역,경상남도,진주시,2004,0000,35.248275,127.993976
53100004817020041040UMI1000001001,상수원보호구역,경상남도,진주시,2004,1040,35.2369285,127.9825073
53100004817020040000UMI1000001085,상수원보호구역,경상남도,진주시,2004,0000,35.2446588,127.9390693
53100004817020041073UMI1000001001,상수원보호구역,경상남도,진주시,2004,1073,35.215889,127.9613546
53100004817020040000UMI1000001141,상수원보호구역,경상남도,진주시,2004,0000,35.2395456,127.989329
53100004817020040000UMI1000001008,상수원보호구역,경상남도,진주시,2004,0000,35.2619995,127.9904419
53100004817020040290UMI1000001001,상수원보호구역,경상남도,진주시,2004,0290,35.1531563,128.0175896
53100004817020040792UMI1000001001,상수원보호구역,경상남도,진주시,2004,0792,35.2026784,127.9753569
53100004817020040242UMI1000001001,상수원보호구역,경상남도,진주시,2004,0242,35.1818635,127.9753437
53100004817020040901UMI1000001001,상수원보호구역,경상남도,진주시,2004,0901,35.159451,127.9888592
53100004817020041141UMI1000001001,상수원보호구역,경상남도,진주시,2004,1141,35.1627786,127.991933
53100004817020041015UMI1000001001,상수원보호구역,경상남도,진주시,2004,1015,35.2373279,127.9456991
53100004817020041183UMI1000001001,상수원보호구역,경상남도,진주시,2004,1183,35.2449202,127.9441589
53100004817020040711UMI1000001001,상수원보호구역,경상남도,진주시,2004,0711,35.1505543,128.0240312
53100004817020040477UMI1000001001,상수원보호구역,경상남도,진주시,2004,0477,35.160981,128.007593
53100004817020040789UMI1000001001,상수원보호구역,경상남도,진주시,2004,0789,35.2048658,127.980395
53100004817020040787UMI1000001001,상수원보호구역,경상남도,진주시,2004,0787,35.2038993,127.9733361
53100004817020040783UMI1000001001,상수원보호구역,경상남도,진주시,2004,0783,35.1447561,128.0048821
53100004817020040000UMI1000001084,상수원보호구역,경상남도,진주시,2004,0000,35.2456001,127.9428233
53100004817020040312UMI1000001001,상수원보호구역,경상남도,진주시,2004,0312,35.1563256,128.0206865
53100004817020040932UMI1000001001,상수원보호구역,경상남도,진주시,2004,0932,35.1658233,127.9757128
53100004817020040904UMI1000001001,상수원보호구역,경상남도,진주시,2004,0904,35.2513903,127.980327
53100004817020041169UMI1000001001,상수원보호구역,경상남도,진주시,2004,1169,35.240164,127.9938734
53100004817020040815UMI1000001001,상수원보호구역,경상남도,진주시,2004,0815,35.1767449,128.0300444
53100004817020040149UMI1000001001,상수원보호구역,경상남도,진주시,2004,0149,35.1714373,127.9797595
53100004817020040337UMI1000001001,상수원보호구역,경상남도,진주시,2004,0337,35.1672755,128.0114769
53100004817020040058UMI1000001001,상수원보호구역,경상남도,진주시,2004,0058,35.1976189,127.9760429
53100004817020041112UMI1000001001,상수원보호구역,경상남도,진주시,2004,1112,35.1776307,128.0205945
53100004817020040884UMI1000001001,상수원보호구역,경상남도,진주시,2004,0884,35.2121954,128.0075596
53100004817020040000UMI1000001101,상수원보호구역,경상남도,진주시,2004,0000,35.2474227,127.9834005
53100004817020040926UMI1000001001,상수원보호구역,경상남도,진주시,2004,0926,35.2139569,128.0028823
53100004817020040175UMI1000001001,상수원보호구역,경상남도,진주시,2004,0175,35.1824343,127.9853517
53100004817020040817UMI1000001001,상수원보호구역,경상남도,진주시,2004,0817,35.1662018,128.0351318
53100004817020041030UMI1000001001,상수원보호구역,경상남도,진주시,2004,1030,35.2314192,127.9692134
53100004817020040317UMI1000001001,상수원보호구역,경상남도,진주시,2004,0317,35.1561817,128.0180276
53100004817020040798UMI1000001001,상수원보호구역,경상남도,진주시,2004,0798,35.2026369,127.972271
53100004817020040793UMI1000001001,상수원보호구역,경상남도,진주시,2004,0793,35.2023601,127.9728398
53100004817020040701UMI1000001001,상수원보호구역,경상남도,진주시,2004,0701,35.1503735,128.0250085
53100004817020040693UMI1000001001,상수원보호구역,경상남도,진주시,2004,0693,35.1922108,127.9955956
53100004817019840000UMI1000001341,상수원보호구역,경상남도,진주시,1984,0000,35.1532502,128.0071409
53100004817019840000UMI1000001285,상수원보호구역,경상남도,진주시,1984,0000,35.1915293,127.9855974
53100004817020040491UMI1000001001,상수원보호구역,경상남도,진주시,2004,0491,35.1673242,127.9906429
53100004817020040119UMI1000001001,상수원보호구역,경상남도,진주시,2004,0119,35.1704488,127.9271025
14800004817019840000UMI1000001209,상수원보호구역,경상남도,진주시,1984,0000,35.2272514,127.9657211
